date,state,latitude,longitude,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,rainfall_intensity_3h_mm,rainfall_anomaly_pct,elevation_m,slope_deg,aspect_deg,curvature,soil_moisture,clay_pct,ndvi,geology_risk_index,displacement_mm,historical_landslide_count,distance_to_road_km,distance_to_settlement_km,infrastructure_exposure_index,landslide_occurrence,risk_score_demo,risk_class_demo
2018-01-09,Assam,26.845969792658714,94.15574670172806,42.32,124.46,192.88,22.66,45.92,1479.35,15.24,352.93,0.0911,0.6977,18.8,0.2832,0.5842,15.1,1,1.254,3.106,55.45,0.0,35.45,Moderate
2018-01-09,Assam,26.38293024617367,92.59794708763309,30.6,98.34,264.79,6.94,114.88,1718.32,23.09,274.43,-0.0245,0.6557,28.82,0.2461,0.4205,20.65,1,1.243,4.261,62.28,0.0,34.2,Low
2018-01-09,Assam,26.795024793611113,93.2927136797176,30.33,85.94,180.09,7.73,24.37,1232.2,16.07,336.27,-0.1795,0.6837,25.22,0.469,0.521,22.57,5,4.576,3.597,48.0,0.0,29.51,Low
2018-01-09,Assam,26.08952867637954,90.57916978985537,12.18,22.64,74.61,3.76,-63.13,497.5,9.9,76.31,0.0354,0.3494,31.19,0.253,0.6573,6.71,2,2.707,3.79,44.92,0.0,21.83,Low
2018-01-09,Manipur,24.705327517716718,93.65090831494328,19.88,53.32,153.92,9.07,39.99,1202.55,11.89,31.97,-0.2025,0.4259,44.44,0.5228,0.4814,17.81,2,3.709,13.688,28.71,0.0,20.89,Low
2018-01-09,Mizoram,23.60282042822687,92.65020994012126,34.05,100.84,258.85,9.51,144.07,513.03,40.23,56.29,-0.0908,0.6761,13.94,0.5022,0.8592,24.58,4,5.532,1.956,39.62,0.0,44.72,Moderate
2018-01-09,Tripura,24.402485449262667,92.14415859259861,7.45,58.93,186.67,1.8,32.24,219.16,29.05,150.47,-0.0721,0.5134,39.3,0.714,0.7231,23.58,4,3.28,0.252,55.99,0.0,34.69,Low
2018-01-10,Arunachal Pradesh,27.356453514520013,96.92405866424896,24.47,24.47,25.82,7.39,-97.58,868.83,9.6,46.4,-0.2452,0.4511,31.25,0.2339,0.328,9.94,3,4.783,1.259,47.77,0.0,18.62,Low
2018-01-10,Assam,25.954468840391467,92.67500170968206,21.11,41.07,102.04,5.89,-14.19,612.26,5.21,295.15,-0.3541,0.3819,19.51,0.7257,0.2391,7.55,3,5.002,1.741,54.83,0.0,17.34,Low
2018-01-10,Assam,26.64416529020682,93.27054013321064,30.93,80.5,159.32,10.27,48.59,1857.45,19.94,106.34,0.3531,0.4411,15.42,0.5147,0.5174,19.11,1,2.677,2.359,49.93,1.0,32.78,Low
2018-01-10,Manipur,24.83651168732612,94.08047974560398,20.26,62.66,202.97,10.54,124.09,1356.05,8.09,121.68,-0.1953,0.4576,32.9,0.58,0.2242,18.79,1,3.365,1.609,59.11,0.0,23.8,Low
2018-01-10,Manipur,25.450430546668493,94.656784186807,107.22,180.5,338.34,40.54,158.04,1486.54,13.56,117.23,-0.3333,0.75,10.4,0.7062,0.3352,22.39,1,7.773,2.904,41.68,1.0,49.62,Moderate
2018-01-10,Nagaland,25.72272131990793,94.31139621423962,72.32,237.18,626.85,30.35,350.0,642.3,24.82,285.82,0.2567,0.75,40.46,0.361,0.6861,36.83,7,2.943,4.222,49.51,0.0,68.25,High
2018-01-10,Sikkim,27.650915098325957,88.30324733780365,21.37,34.41,63.85,8.8,-49.18,1637.69,21.68,20.03,-0.1444,0.3994,37.05,0.6268,0.3564,0.0,2,6.945,0.473,43.04,0.0,22.93,Low
2018-01-11,Arunachal Pradesh,27.91125507660313,95.3682410177948,18.26,29.44,130.21,6.11,11.47,1352.78,17.18,142.11,-0.2231,0.3149,5.27,0.3902,0.4589,24.22,1,3.7,6.523,39.56,0.0,27.31,Low
2018-01-11,Arunachal Pradesh,27.85896488373981,95.18904388725055,8.09,36.74,39.17,1.77,-68.73,1672.24,40.71,144.1,-0.2218,0.3975,37.48,0.601,0.7463,9.59,4,0.225,2.848,83.08,0.0,30.78,Low
2018-01-11,Assam,26.007819870807587,93.71009156415573,17.1,22.12,22.55,7.36,-63.98,885.16,32.34,330.98,-0.0493,0.3852,40.59,0.558,0.7493,2.53,4,0.639,3.132,60.21,0.0,41.49,Moderate
2018-01-11,Assam,26.657401063390452,93.23240041959156,10.84,47.27,117.89,4.24,-8.79,1323.32,8.8,3.72,-0.333,0.4406,36.77,0.5854,0.3283,6.4,1,3.613,4.733,42.08,0.0,21.28,Low
2018-01-11,Assam,26.954954475204453,92.45751787602285,3.28,3.28,3.28,1.78,-100.0,1354.8,11.5,266.33,0.2891,0.2302,18.46,0.434,0.539,5.59,2,4.177,3.149,35.7,0.0,19.22,Low
2018-01-11,Mizoram,23.432699584470214,93.20017763032783,17.66,56.34,128.04,8.92,4.17,123.06,24.45,195.77,0.1268,0.4906,18.71,0.4503,0.4364,20.43,1,5.81,2.913,33.94,1.0,19.1,Low
2018-01-11,Sikkim,28.080910980394425,88.63545908090217,11.74,11.74,11.74,2.38,-68.74,318.16,6.54,35.92,0.0514,0.1616,27.61,0.5727,0.4026,6.41,4,2.918,6.735,43.3,0.0,14.92,Low
2018-01-11,Sikkim,27.890758145396987,88.42235976016453,40.79,136.35,290.23,18.37,148.64,1607.44,18.34,85.45,0.4299,0.75,27.93,0.4924,0.4424,16.03,2,2.986,3.154,54.49,0.0,37.04,Moderate
2018-01-12,Assam,26.143046209719603,91.05228409872362,26.97,105.08,179.97,14.07,58.31,1419.84,7.56,309.71,-0.2478,0.5402,25.6,0.6999,0.5607,16.28,1,3.526,1.325,44.29,0.0,35.72,Moderate
2018-01-12,Assam,26.58507683164062,91.47486263932035,16.49,16.49,50.37,8.27,-52.51,641.9,14.78,258.23,-0.0572,0.2362,39.88,0.3843,0.469,9.88,4,0.749,2.346,72.62,0.0,21.01,Low
2018-01-12,Meghalaya,25.81529817072935,91.82365404788547,48.68,154.59,393.14,9.78,207.36,750.54,10.59,349.99,0.2616,0.7115,25.41,0.6735,0.2736,27.01,3,0.881,1.064,72.51,0.0,46.68,Moderate
2018-01-12,Nagaland,26.181660539933343,94.25668645686865,3.16,3.16,3.16,1.21,-100.0,892.79,10.47,81.23,0.1199,0.2846,23.99,0.413,0.4255,1.74,3,0.478,2.971,69.54,0.0,21.07,Low
2018-01-12,Nagaland,25.597512935176837,93.99282513756313,48.53,89.67,234.17,16.1,110.23,577.18,31.25,131.9,-0.2615,0.5119,29.27,0.6371,0.5253,25.94,2,1.804,0.596,60.85,0.0,41.03,Moderate
2018-01-12,Nagaland,26.5317866164925,94.47172129526716,37.41,162.86,248.23,12.76,110.38,171.4,12.83,329.54,0.061,0.75,21.12,0.5711,0.5872,23.03,2,8.652,1.146,46.36,1.0,47.99,Moderate
2018-01-12,Sikkim,27.534333377430965,88.61475839928752,94.87,207.2,387.16,45.82,195.65,1534.65,5.19,99.98,0.0199,0.75,35.03,0.6075,0.4353,33.9,0,1.423,3.628,66.75,1.0,64.66,High
2018-01-13,Arunachal Pradesh,27.21273228777445,95.55513274486773,0.0,14.28,29.48,0.0,-85.02,1334.56,13.83,28.57,0.1504,0.3221,42.9,0.3088,0.5034,2.33,3,4.215,2.423,54.45,0.0,19.41,Low
2018-01-13,Arunachal Pradesh,28.002103383938046,96.52937499440898,0.0,0.0,6.58,0.0,-100.0,812.18,21.65,153.1,0.0775,0.2429,29.27,0.5727,0.4267,4.79,2,1.684,2.573,50.82,0.0,17.8,Low
2018-01-13,Assam,25.109391674079575,93.21864109892616,29.22,94.03,175.03,10.27,34.36,919.47,24.63,180.63,0.1365,0.6175,35.28,0.4423,0.5674,18.52,4,3.111,0.35,69.09,1.0,56.89,High
2018-01-13,Assam,26.717420443809566,93.89731388746509,46.24,162.04,423.02,16.23,230.91,619.28,25.58,74.82,-0.0797,0.75,36.32,0.6804,0.673,30.9,1,1.784,12.65,43.31,1.0,60.42,High
2018-01-13,Manipur,25.00178917753233,94.33243729857675,56.18,152.64,298.33,17.19,156.02,1176.01,22.3,59.92,-0.1055,0.75,39.47,0.7576,0.5881,20.68,5,4.168,3.647,40.1,0.0,49.21,Moderate
2018-01-13,Meghalaya,25.724805867370424,91.86251925796545,19.54,69.81,150.56,5.78,40.34,1318.6,10.55,69.95,-0.1731,0.5289,42.77,0.4955,0.4441,15.13,4,5.266,9.885,37.49,1.0,22.22,Low
2018-01-13,Nagaland,26.673338943840893,94.76828401826643,20.74,26.31,26.31,4.5,-93.53,474.8,34.88,55.32,-0.1645,0.4264,22.84,0.4991,0.7053,7.13,3,8.032,5.451,34.59,0.0,25.24,Low
2018-01-13,Nagaland,26.67934097877329,94.74663728128617,59.55,142.47,297.18,25.32,145.47,599.83,48.0,34.51,0.1894,0.75,10.56,0.7927,0.734,27.64,4,1.038,2.297,64.27,1.0,65.45,High
2018-01-13,Sikkim,27.86619399665672,88.26323820653084,25.42,55.22,159.52,13.87,45.33,513.82,18.37,34.36,0.1273,0.4335,37.73,0.3669,0.6625,12.67,1,1.661,2.428,62.37,0.0,30.48,Low
2018-01-14,Arunachal Pradesh,27.66335937968113,96.31035908452577,60.68,152.6,285.09,19.71,146.35,1184.13,22.61,74.22,0.0346,0.7002,28.77,0.6182,0.5374,27.04,4,2.35,7.607,41.38,0.0,42.88,Moderate
2018-01-14,Arunachal Pradesh,27.48705718351183,95.94037949776225,29.97,120.73,311.29,8.9,152.77,1872.56,17.93,314.75,-0.0917,0.5952,55.63,0.4968,0.6413,22.03,3,0.891,3.851,69.68,1.0,42.45,Moderate
2018-01-14,Assam,26.7685887798453,94.2645174878082,22.49,33.65,33.65,9.44,-100.0,790.09,4.27,349.78,-0.063,0.2178,43.06,0.3412,0.2878,3.06,0,0.657,3.1,69.87,0.0,18.42,Low
2018-01-14,Assam,25.662101502431987,92.61668154629331,60.2,106.37,189.09,25.4,40.34,718.29,3.22,320.6,-0.1144,0.6142,32.02,0.6266,0.6141,7.77,4,5.601,0.638,53.47,0.0,39.97,Moderate
2018-01-14,Assam,26.762475325373956,90.71502140134447,39.28,112.44,237.06,17.0,82.1,1617.28,17.71,216.33,0.4087,0.7084,16.51,0.5156,0.4587,17.27,1,1.927,4.814,55.53,0.0,42.7,Moderate
2018-01-14,Manipur,24.985282893590924,93.37826679796505,19.16,75.58,272.32,6.39,119.54,970.2,12.45,35.9,0.0594,0.4811,44.6,0.575,0.2848,18.65,3,1.633,2.666,61.66,0.0,22.64,Low
2018-01-14,Manipur,24.102215255006556,93.43137908487961,48.34,104.4,355.12,22.89,172.91,647.69,20.94,148.42,0.0741,0.5796,25.14,0.3792,0.6081,21.14,4,0.854,3.104,60.38,1.0,53.66,Moderate
2018-01-14,Mizoram,23.494636268948266,93.33930191125398,16.55,39.67,134.18,6.14,5.74,1227.13,31.01,138.21,-0.0954,0.4503,24.35,0.3618,0.6417,25.62,4,1.564,8.593,44.81,0.0,26.87,Low
2018-01-14,Mizoram,23.309981973392578,92.9540966694268,12.65,12.65,33.46,4.32,-86.02,1197.17,40.27,178.16,0.4102,0.383,35.32,0.4636,0.7906,8.68,1,1.589,1.696,58.28,0.0,31.34,Low
2018-01-14,Mizoram,22.48074262516916,92.75220062610676,17.09,63.96,186.65,4.21,48.03,853.18,21.55,3.7,-0.0852,0.5211,28.5,0.4648,0.6776,24.3,5,4.834,1.784,46.59,0.0,35.7,Moderate
2018-01-14,Sikkim,27.36622338591596,88.17808568813405,78.09,248.15,650.92,24.93,350.0,1080.45,6.85,141.47,-0.0388,0.75,24.4,0.557,0.2866,42.49,0,1.646,0.437,64.52,0.0,53.5,Moderate
2018-01-15,Assam,25.70256202141371,92.86445935178139,20.88,83.82,199.06,9.79,65.68,1019.22,18.86,128.1,-0.1223,0.5873,27.13,0.3293,0.4509,25.5,4,0.654,5.214,65.56,0.0,26.84,Low
2018-01-15,Assam,26.512734235861878,94.09979232477926,50.45,146.82,371.7,26.05,208.21,932.93,19.96,225.64,0.0896,0.75,32.11,0.6507,0.6816,32.95,6,6.346,5.099,25.28,1.0,56.64,High
2018-01-15,Manipur,24.99874556247853,93.27255196380398,16.76,41.9,83.42,6.54,-13.14,954.76,15.73,242.1,-0.1216,0.3329,30.03,0.5054,0.4359,14.86,4,6.229,7.633,33.06,0.0,20.73,Low
2018-01-15,Manipur,25.544545612591243,93.87839114950599,26.74,59.0,84.19,9.31,-38.06,581.83,33.63,52.09,0.2257,0.4547,5.85,0.4751,0.6179,9.12,1,3.226,0.867,47.78,0.0,34.43,Low
2018-01-15,Meghalaya,25.946546523114534,90.41286799189419,50.01,95.23,255.08,27.23,112.67,292.3,14.42,256.26,0.0919,0.4987,23.33,0.4189,0.4257,21.66,2,1.609,3.732,49.24,0.0,22.07,Low
2018-01-15,Sikkim,27.849140936166876,88.61058545927361,40.64,114.09,229.82,18.04,101.68,837.78,14.77,165.09,0.266,0.641,37.28,0.356,0.5057,20.2,3,0.954,2.749,73.3,1.0,45.6,Moderate
2018-01-15,Tripura,23.672195406684573,91.28910626186678,1.27,19.89,26.79,0.31,-84.64,68.49,5.86,342.47,0.4012,0.2556,36.88,0.3323,0.3996,5.14,1,2.577,0.59,55.61,0.0,16.96,Low
2018-01-16,Arunachal Pradesh,28.224792375294165,95.73751642702418,1.34,19.72,93.11,0.5,4.53,123.81,22.81,67.49,0.1305,0.3738,32.41,0.1726,0.6653,13.88,3,1.907,0.103,63.55,0.0,25.55,Low
2018-01-16,Arunachal Pradesh,27.957306489232813,96.20298442779593,123.25,369.53,966.52,29.78,350.0,1747.14,11.48,14.93,-0.1776,0.75,34.96,0.4009,0.1898,60.6,1,9.988,2.195,40.55,1.0,71.92,High
2018-01-16,Arunachal Pradesh,27.249953319678553,95.96408206377696,7.16,19.17,86.33,2.7,-33.77,1346.65,15.68,319.53,0.0646,0.2937,34.28,0.5402,0.661,16.71,0,1.11,5.109,61.91,0.0,23.13,Low
2018-01-16,Assam,26.817327841227716,92.51722921490888,15.43,37.3,37.3,6.28,-71.92,1384.8,15.72,320.56,0.1458,0.3441,37.15,0.679,0.21,13.44,1,0.796,1.373,81.69,0.0,25.38,Low
2018-01-16,Assam,26.374469179337897,91.98366275562181,33.27,93.81,179.43,14.1,64.24,1555.85,48.0,173.37,-0.4659,0.6824,29.5,0.3406,0.5279,16.69,2,2.133,1.104,64.95,0.0,43.78,Moderate
2018-01-16,Assam,27.261930474990955,95.44257230748539,25.27,117.1,243.96,12.68,94.7,1235.89,11.14,294.13,0.1362,0.6867,12.73,0.5881,0.4373,18.83,3,3.884,3.274,45.93,0.0,30.13,Low
2018-01-16,Assam,26.547014182384288,94.22991902563872,26.26,72.76,151.16,9.12,13.78,1324.8,4.14,132.83,-0.1652,0.4356,13.54,0.5818,0.2094,13.44,2,2.185,7.699,42.06,0.0,17.45,Low
2018-01-16,Mizoram,23.779883237301984,92.3446902394664,25.42,44.01,56.09,7.1,-61.44,971.15,12.17,27.98,0.0569,0.3293,15.04,0.4324,0.5041,5.68,3,2.066,1.457,57.09,0.0,22.99,Low
2018-01-16,Mizoram,23.151476806581595,93.08260282319131,35.48,113.67,321.31,17.16,154.59,1216.05,26.68,31.83,0.0171,0.6158,39.36,0.2959,0.5112,16.87,2,2.809,0.216,58.19,0.0,46.69,Moderate
2018-01-16,Nagaland,26.846459385465504,95.03899565983725,0.0,0.0,26.59,0.0,-68.53,1150.54,6.59,131.54,0.1229,0.186,28.57,0.5249,0.3533,12.03,2,0.635,0.387,83.67,0.0,19.72,Low
2018-01-16,Sikkim,27.510045069331166,88.7580780582791,8.78,12.78,35.35,4.48,-68.98,1349.51,16.47,104.79,0.0428,0.3784,13.86,0.4686,0.506,9.33,1,1.101,0.934,70.67,0.0,24.28,Low
2018-01-17,Arunachal Pradesh,27.506680582132965,96.5979800962059,86.28,234.36,625.22,19.09,350.0,798.86,23.14,114.93,-0.0848,0.75,23.43,0.4814,0.5133,40.94,2,1.426,0.904,70.56,1.0,64.15,High
2018-01-17,Arunachal Pradesh,26.894668324740742,95.56371013714154,22.88,95.89,180.89,12.37,39.77,1645.12,5.94,246.84,-0.08,0.4989,18.87,0.369,0.4941,17.35,3,1.45,2.51,58.86,0.0,27.07,Low
2018-01-17,Assam,26.0025323343515,92.53750579871182,13.29,13.29,14.86,2.93,-92.98,1303.42,23.85,14.34,0.0432,0.3991,19.67,0.6513,0.3392,12.68,2,0.76,2.39,74.42,0.0,22.4,Low
2018-01-17,Assam,26.062534066927512,90.30457886567925,19.07,19.38,42.67,6.63,-51.26,794.26,11.43,267.05,-0.3963,0.3712,18.12,0.7616,0.3056,0.0,4,2.739,1.29,65.29,0.0,18.33,Low
2018-01-17,Manipur,24.433911299615662,94.07409348559291,37.29,59.99,180.75,9.84,47.84,1517.86,26.54,137.89,0.5063,0.5558,15.24,0.4099,0.6409,25.32,1,2.312,3.849,42.22,0.0,37.3,Moderate
2018-01-17,Meghalaya,25.278775123912837,91.14420547276353,21.84,21.84,21.84,7.89,-84.74,846.02,27.69,337.1,-0.0855,0.2821,31.22,0.558,0.511,14.09,0,6.497,8.435,25.73,0.0,17.65,Low
2018-01-17,Mizoram,23.22089321598088,93.03467689264107,74.86,238.04,581.63,33.35,350.0,1176.63,36.58,311.76,0.3366,0.75,10.49,0.3937,0.5849,39.71,3,1.953,4.13,62.59,1.0,76.39,Critical
